A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
117,-1.447494934,-1.136977946,-0.836801233,1.932464027,-1.512099553,0.801874172,2.669102823,bad
2694,2.839617992,0.747720396,-1.026055396,-0.709875681,0.431186284,0.970474653,3.604999027,good
474,1.728200791,1.787493586,-1.431247665,0.160493336,0.188754032,-0.010727553,2.308864383,good
2322,3.098029339,-1.732347048,-1.507209401,-0.21694332,4.039246137,-0.301569514,0.617345483,good
3263,-0.186885716,1.081615625,0.828304303,0.089561027,3.209067332,-3.40760201,1.2971345,good
1928,-3.491090174,-2.459008699,1.466740537,-0.035262957,1.840056006,2.458185205,-2.84015253,bad
3262,1.172627897,-1.277302089,-0.434008982,2.819312166,2.39643271,-2.801637468,2.297794779,good
720,-2.828707352,0.864626494,-3.149638826,0.005376275,-3.261025914,4.171440258,2.102061885,bad
3983,-3.652936196,-1.117508955,3.271792195,-1.266320362,2.360318847,0.00721203,-2.022186257,good
2349,-1.890719846,-3.248342069,3.6066911,1.238127273,1.544617186,1.238559135,-1.487521965,good
3892,-1.159024373,-2.189760648,-1.863538563,-0.080853724,1.032969876,1.560881469,-4.586248088,bad
3539,-0.438077175,-2.006049618,-3.38307656,1.19741702,-0.306324307,3.399036129,-1.038366412,bad
13,-1.345530536,-1.623701121,2.044143754,1.754812932,0.997567093,0.434179855,1.724026084,good
1828,-0.575421766,-0.635324557,0.132194528,1.565632598,1.250324734,-1.701047529,4.125106377,bad
1913,1.574285217,0.745976125,-0.571434913,0.050196237,3.499596118,-1.843712986,0.015523334,bad
3908,2.41762954,-2.415989414,-2.329472918,0.793548207,2.12465208,0.460877797,1.539828557,good
3429,-2.458767904,-0.821408712,-2.410657459,1.425252218,0.429372211,1.85341369,-2.020660357,bad
2298,-0.429592197,-0.474286817,0.084666235,2.239623716,1.230820652,0.468641637,-1.416918958,good
258,-1.616073734,-0.19620202,-2.145537289,0.024236485,1.767860033,-1.738779359,-0.985096387,good
255,1.215343488,0.454075004,-0.910714666,2.839160662,-1.286710751,-1.302087805,0.340237631,good
2527,-0.270247824,-1.201557207,-5.180526893,1.296239624,-2.091876125,3.152911478,-1.750078184,bad
3600,0.885404263,-1.592328864,-3.242056579,1.21608102,-3.478284883,2.560784714,-0.372651142,bad
179,0.443371969,-2.637919054,0.319253124,2.622455078,2.551202269,1.188443399,-1.01323595,good
2109,-0.090270944,-1.726818821,1.353851057,0.264375161,2.006328749,1.038351489,-3.391138415,good
3012,-2.34896203,-1.494003637,-0.145984118,-0.083063385,-1.701186597,3.296392015,-0.104389292,bad
2702,3.436588668,-0.789016575,-0.72497271,-0.175611649,2.961983834,-0.290080505,1.817069571,good
955,0.684001861,0.264121486,-2.775463826,0.376440041,-0.129448859,1.248313785,-0.352533686,bad
204,0.237405908,-0.743632082,1.892783174,1.366006813,1.26545143,1.023981506,1.095010268,good
1969,-2.737078563,-2.429581351,4.120719586,0.617622993,0.595397404,0.460919112,-0.944009775,good
670,-3.199055892,-0.632078515,0.305981162,0.630721591,3.372708278,1.191213059,3.067087102,bad
2968,-0.198627327,-2.353435819,-5.271683657,0.241118137,2.626928727,5.135221497,-1.103758111,bad
368,-3.420203667,1.145895432,0.445298637,-0.019282419,2.839288162,-0.56097811,-3.201853102,good
507,-0.055725962,-2.07918008,-2.586991509,0.482617063,-0.271768489,0.439725398,0.267883253,good
2630,0.024373787,-1.441795114,-2.815161788,4.759772929,-1.221851636,-1.223276958,0.213071582,good
1152,1.250977228,-4.182937814,1.225434692,0.361952327,-3.253542718,0.525503493,-2.60312352,bad
1772,-1.749403452,-5.746383673,1.467217611,1.203402054,-3.283043905,0.830028458,-5.387118149,bad
81,-2.451373743,-2.460445365,3.310559586,1.100072267,1.667256216,-0.01057985,-0.908360248,good
2425,-0.057767571,0.286939811,-0.648795826,1.96931217,-0.823967903,0.195576256,-1.016481028,bad
2943,-1.203050515,-0.833300443,-1.760756705,0.32769509,3.081355136,0.446068482,1.937378487,bad
3550,-1.163636873,-0.217289811,-0.020166125,1.666147092,-1.354427839,0.17638486,0.866186822,bad
898,-2.434181469,-2.395268733,-0.366694008,0.689192609,3.285802082,3.970508519,-0.681570939,bad
3917,-4.795198592,-4.052085452,0.96953572,3.12576425,-0.240486731,3.47047915,6.13896523,bad
